日付,顧客名,商品名,数量,単価,担当者
2026-09-25,株式会社フジタ製作所,手袋(軍手),45,180円,鈴木
令和8年9月25日,株式会社コンドウ商会,牛肉（国産）,19,3200,田中
2026-08-01,アオキ酒店,接着剤 ,38,¥320,佐藤
令和8年5月1日,有限会社イシダ金物店,紅茶葉 ,１３,９００円,伊藤
2026-11-25, こばやし青果,牛肉(国産),41,"3,200円",鈴木
11/1,株式会社ニシムラ ,接着剤,25,320,田中
2026/11/10, 株式会社さくら商事,米（コシヒカリ）,17,４２００円,山本
令和8年6月25日,有限会社イシダ金物店,国産牛肉,17,"3,200円",田中
2026/2/10,株式会社さくら商事,米(コシヒカリ),5,４２００円,佐藤
令和8年12月28日,スズキベーカリー,食パン ,４２,¥280,中村
2026/7/20,有限会社イシダ金物店,牛肉（国産）,２,3200円,中村
令和8年9月10日,株式会社ニシムラ,印刷用紙Ａ４,2,４５０円,山本
6/1, オカモト印刷株式会社,醤油,38,380,高橋
令和8年11月20日,アオキ酒店,米(コシヒカリ),33,"4,200",高橋
2/25,オカモト印刷株式会社,せっちゃくざい,24,¥320,田中
6/20, 株式会社さくら商事,杉材,30,2100,田中
2026-09-20,北海道物産センター,コーヒー豆,2,1200円,高橋
2026-08-28,スズキベーカリー,木材（杉）,3,2100円,田中
2026-12-25, こばやし青果,軍手,１２,１８０円,鈴木
令和8年11月20日,北海道物産センター,接着剤 ,48,320,渡辺
令和8年10月20日,田中商店,紅茶葉,36,900,田中
2026-08-15,スズキベーカリー ,文房具セット,25,1500,中村
令和8年8月20日,田中商店,文具セット,4,1500,渡辺
3/28, サトウ精肉店,杉材,30,"2,100",佐藤
令和8年5月5日,カフェ・ドゥ・ソレイユ,醤油,18,380,高橋
令和8年6月5日,田中商店,印刷用紙A4 ,１５,450,高橋
令和8年6月28日, 株式会社さくら商事,米（コシヒカリ）,38,4200,伊藤
2026/1/15,北海道物産センター,杉材,７,"2,100",中村
2/25,はなまる工務店,コーヒー豆,21,"¥1,200",伊藤
3/10,山田物産株式会社,しょうゆ,31,380,渡辺
2026/11/5,サトウ精肉店,文房具セット ,2,"1,500円",伊藤
5/20,株式会社ニシムラ,接着剤,30,320,高橋
2026-08-15,株式会社ニシムラ,国産牛肉,16,3200,伊藤
令和8年6月25日, 山田物産株式会社,軍手 ,２４,¥180,鈴木
2026/1/20,田中商店 ,牛肉（国産）,2,"3,200",山本
2026-01-10, 株式会社フジタ製作所,醤油,29,380,佐藤
2026/2/5,株式会社さくら商事,印刷用紙A4,40,450円,高橋
令和8年1月5日,株式会社ニシムラ,印刷用紙Ａ４,40,450,山本
令和8年11月28日, マツモト文具,印刷用紙A4,16,¥450,中村
2026/1/20,こばやし青果,軍手,48,180円,鈴木
2026-02-01,有限会社みどり食品,木材（杉）,5,"2,100円",渡辺
令和8年7月15日,みなと運送,杉材,48,"¥2,100",田中
11/1, 株式会社さくら商事,文房具セット ,35,1500,佐藤
1/5,株式会社ニシムラ,段ボール箱,29,250,伊藤
2026/8/25,株式会社ニシムラ,接着剤,37,320,高橋
2026/8/15,カフェ・ドゥ・ソレイユ,米(コシヒカリ),２９,"4,200",渡辺
2026-03-05,北海道物産センター,手袋(軍手),46,180円,中村
2026-07-28,北海道物産センター,ダンボール箱,30,２５０円,中村
令和8年1月5日,株式会社コンドウ商会,接着剤 ,30,320,中村
令和8年4月10日, たけだ薬局,せっちゃくざい,１９,320円,山本
令和8年9月20日,株式会社ヤマグチ電機,米(コシヒカリ),11,4200円,中村
2026-03-25,はなまる工務店,だんぼーる箱,2,250円,渡辺
9/1,有限会社イシダ金物店,段ボール箱 ,24,250,山本
5/15,サトウ精肉店,こうちゃ葉,27,900,田中
2026/2/5,こばやし青果,紅茶,7,900円,中村
2026-02-10,スズキベーカリー,印刷用紙Ａ４,47,450,中村
5/10,こばやし青果,木材(杉),21,"¥2,100",山本
2026-10-15,株式会社ヤマグチ電機,ｺｰﾋｰ豆,38,1200,高橋
2026-07-28,サトウ精肉店,杉材,1,2100円,田中
令和8年9月28日,北海道物産センター,文房具セット ,19,"1,500円",山本
5/10,サトウ精肉店,文房具セット ,15,"1,500",伊藤
令和8年6月15日,株式会社ヤマグチ電機,文房具セット ,36,"1,500円",山本
令和8年6月10日,株式会社ヤマグチ電機 ,段ボール箱 ,34,250,伊藤
2026-06-01,山田物産株式会社,食パン,４３,280円,佐藤
2026-04-15,スズキベーカリー,印刷用紙A4 ,50,450円,田中
2026-03-25,たけだ薬局,食パン,４４,280円,中村
2026/7/20,オカモト印刷株式会社 ,印刷用紙A4,23,¥450,山本
2026/7/20,山田物産株式会社,米（コシヒカリ）,23,"4,200円",佐藤
2026/5/1,オカモト印刷株式会社,接着剤,49,320円,田中
令和8年8月1日,みなと運送,段ボール箱,３３,¥250,渡辺
2026-05-10,株式会社ヤマグチ電機,印刷用紙(A4),4,450円,佐藤
2026-09-25, カフェ・ドゥ・ソレイユ,食パン,19,280円,田中
6/10,株式会社さくら商事,印刷用紙(A4),12,４５０円,鈴木
8/15,カフェ・ドゥ・ソレイユ,印刷用紙A4 ,43,450円,山本
5/5,カフェ・ドゥ・ソレイユ,こうちゃ葉,27,900円,中村
2026-11-01,株式会社コンドウ商会 ,紅茶葉,15,900円,佐藤
11/1,マツモト文具,印刷用紙Ａ４,44,¥450,鈴木
2026/3/15,有限会社みどり食品,食パン,３８,280円,高橋
2026/2/28, 株式会社ニシムラ,段ボール箱 ,29,250,高橋
令和8年3月28日,株式会社コンドウ商会,印刷用紙Ａ４,32,450,中村
,,,,,
2026/9/10,カフェ・ドゥ・ソレイユ,米(コシヒカリ),5,"4,200",伊藤
2026/7/5, たけだ薬局,こうちゃ葉,19,900円,高橋
2026-07-20, 株式会社ニシムラ,牛肉(国産),18,"3,200円",佐藤
2026-07-01,カフェ・ドゥ・ソレイユ,印刷用紙A4,49,450,田中
8/25,オカモト印刷株式会社 ,だんぼーる箱,６,¥250,鈴木
2026/4/10,スズキベーカリー,印刷用紙(A4),21,450円,山本
令和8年5月5日,株式会社コンドウ商会,印刷用紙(A4),8,450,高橋
11/25,有限会社イシダ金物店,珈琲豆,２６,1200,佐藤
2026-03-25,はなまる工務店,醤油,47,380円,山本
8/15,サトウ精肉店,珈琲豆,１９,１２００円,中村
4/20,山田物産株式会社 , コーヒー豆,22,1200,山本
令和8年7月28日,カフェ・ドゥ・ソレイユ,文具セット,34,"1,500円",山本
2/20,アオキ酒店,文房具セット,29,1500,田中
2026-07-20,有限会社みどり食品,パン(食パン),11,280円,伊藤
9/20,スズキベーカリー,コシヒカリ,50,"¥4,200",中村
11/1,マツモト文具,印刷用紙Ａ４,44,¥450,鈴木
4/1,カフェ・ドゥ・ソレイユ,印刷用紙A4,37,450,鈴木
令和8年10月5日,株式会社さくら商事,手袋(軍手),38,180,中村
2026-11-01,カフェ・ドゥ・ソレイユ,コーヒー豆,３４,"1,200円",高橋
4/5,はなまる工務店, コーヒー豆,32,"1,200円",伊藤
4/5,有限会社イシダ金物店,軍手,38,180円,中村
2026-07-15,カフェ・ドゥ・ソレイユ,食パン,35,280,佐藤
2026/4/1,有限会社イシダ金物店,牛肉（国産）,13,3200,渡辺
2026/12/20,株式会社さくら商事,印刷用紙Ａ４,9,¥450,鈴木
令和8年11月10日,田中商店,こうちゃ葉,39,900,田中
6/15, 山田物産株式会社,牛肉(国産),25,"3,200",山本
令和8年11月15日, 株式会社ニシムラ,コシヒカリ,18,"4,200円",佐藤
2026/8/10, アオキ酒店,軍手 ,8,180,山本
令和8年1月28日,スズキベーカリー ,接着剤 ,26,¥320,山本
12/10, 田中商店,食パン ,35,280円,田中
9/5,オカモト印刷株式会社,国産牛肉,30,3200,田中
2026/1/28,有限会社みどり食品,接着剤,１６,320円,中村
令和8年12月28日,アオキ酒店,食パン,１６,280円,渡辺
令和8年11月28日, みなと運送,木材（杉）,50,"2,100円",田中
令和8年4月25日,マツモト文具 ,軍手 ,45,180,佐藤
2026/4/5,株式会社ニシムラ,牛肉（国産）,13,"3,200円",高橋
,,,,,
2/15,株式会社ヤマグチ電機,せっちゃくざい,7,320,佐藤
令和8年8月25日, 有限会社みどり食品,段ボール箱 ,11,¥250,山本
3/25,山田物産株式会社,しょうゆ,18,380円,渡辺
5/15,マツモト文具 ,印刷用紙Ａ４,5,450円,山本
2026-09-20,オカモト印刷株式会社,しょうゆ,30,¥380,山本
令和8年9月10日,有限会社みどり食品,米（コシヒカリ）,３１,４２００円,佐藤
2026/3/1,カフェ・ドゥ・ソレイユ,せっちゃくざい,３６,320円,高橋
2026/6/5,みなと運送,国産牛肉,４０,３２００円,鈴木
令和8年7月25日,はなまる工務店,牛肉（国産）,20,３２００円,佐藤
9/28, 株式会社ヤマグチ電機 ,牛肉(国産),23,3200円,伊藤
2026/8/10, 有限会社みどり食品,文房具セット ,31,"1,500",高橋
2026-07-10,スズキベーカリー ,文房具セット,3,1500,山本
7/1,たけだ薬局,米（コシヒカリ）,9,4200円,田中
2026-12-28,北海道物産センター,段ボール箱 ,７,250,中村
令和8年11月1日,山田物産株式会社,段ボール箱 ,8,250,高橋
令和8年4月10日, アオキ酒店 ,こうちゃ葉,36,900円,佐藤
2026-02-20,アオキ酒店, コーヒー豆,4,1200円,渡辺
2026-01-10, スズキベーカリー,文房具セット ,34,"1,500円",鈴木
4/5,はなまる工務店, コーヒー豆,32,"1,200円",伊藤
3/15,スズキベーカリー ,紅茶葉 ,11,¥900,伊藤
2026-11-01,サトウ精肉店,紅茶葉 ,26,900,中村
令和8年7月28日,株式会社さくら商事,接着剤,32,320円,伊藤
,,,,,
令和8年1月28日, 北海道物産センター,こうちゃ葉,３２,900円,佐藤
令和8年8月20日,北海道物産センター,接着剤 ,16,¥320,中村
2026/7/10,はなまる工務店,杉材,9,"¥2,100",田中
1/15,山田物産株式会社,紅茶葉,47,900円,伊藤
2026/2/15,田中商店,杉材,31,"2,100円",佐藤
令和8年2月15日,サトウ精肉店 ,段ボール箱 ,40,２５０円,渡辺
,,,,,
2026-10-20,みなと運送,接着剤,24,320円,渡辺
7/28,マツモト文具,軍手 ,24,180,中村
2026-08-28,田中商店,醤油 ,２６,380,渡辺
2026-05-01,有限会社イシダ金物店,牛肉(国産),8,"3,200",中村
2026-12-01,たけだ薬局 ,コシヒカリ,３３,"4,200",佐藤
令和8年12月15日,カフェ・ドゥ・ソレイユ,パン(食パン),41,280円,伊藤
令和8年11月15日,株式会社コンドウ商会,コシヒカリ,16,4200円,高橋
1/5,株式会社ニシムラ,段ボール箱,29,250,伊藤
5/28,田中商店,木材（杉）,37,"2,100円",田中
2026/11/1,アオキ酒店,印刷用紙(A4),19,450,鈴木
2026-02-25, 株式会社フジタ製作所 ,紅茶,１６,900円,鈴木
2026-10-10,たけだ薬局,接着剤,26,320,伊藤
12/1,山田物産株式会社,印刷用紙A4 ,8,450円,山本
2026-07-28,有限会社イシダ金物店,コシヒカリ,5,4200円,佐藤
10/5,株式会社コンドウ商会,コーヒー豆 ,22,１２００円,山本
令和8年11月5日,アオキ酒店,文具セット,28,1500,中村
2/10,サトウ精肉店,杉材,33,2100,山本
令和8年4月20日,たけだ薬局,コーヒー豆,42,"1,200",佐藤
令和8年4月25日, こばやし青果 ,段ボール箱 ,３０,250円,鈴木
2026-02-01,有限会社イシダ金物店 ,せっちゃくざい,31,320,渡辺
9/20, 株式会社フジタ製作所,コシヒカリ,23,4200円,中村
2026-04-15,北海道物産センター ,接着剤 ,1,320円,田中
令和8年9月15日,みなと運送,牛肉（国産）,32,3200円,佐藤
2026-03-01,アオキ酒店,接着剤,39,３２０円,鈴木
令和8年8月25日,アオキ酒店,印刷用紙(A4),31,450円,山本
2026-04-01,はなまる工務店,手袋(軍手),45,180,渡辺
5/10,北海道物産センター,コーヒー豆,19,"1,200円",田中
2026/3/10,みなと運送,米(コシヒカリ),6,４２００円,高橋
2026/9/1, カフェ・ドゥ・ソレイユ,コシヒカリ,24,4200円,佐藤
2026/3/25,株式会社ニシムラ,紅茶葉,43,900円,高橋
3/20,有限会社みどり食品,杉材,34,"2,100円",田中
4/10,北海道物産センター,国産牛肉,6,"¥3,200",鈴木
5/25,株式会社ニシムラ,文具セット,43,１５００円,高橋
2026/8/5,たけだ薬局,国産牛肉,21,３２００円,中村
6/1,田中商店,印刷用紙A4 ,２２,450円,鈴木
2026/9/20, カフェ・ドゥ・ソレイユ,牛肉(国産),27,３２００円,中村
,,,,,
2026-07-01,有限会社みどり食品,せっちゃくざい,12,320,中村
2026-12-01,はなまる工務店,ｺｰﾋｰ豆,27,"1,200円",鈴木
10/1,アオキ酒店 ,ダンボール箱,48,250,伊藤
令和8年9月5日,オカモト印刷株式会社,紅茶,34,900円,渡辺
,,,,,
5/5,たけだ薬局,木材（杉）,47,"2,100円",山本
4/5,たけだ薬局,文具セット,32,1500,田中
令和8年6月25日,みなと運送 ,せっちゃくざい,36,320円,田中
令和8年5月20日,カフェ・ドゥ・ソレイユ,食パン,6,280,鈴木
4/1,はなまる工務店 ,軍手 ,32,180円,高橋
12/25,たけだ薬局,木材(杉),1,"2,100円",田中
2026-11-10,株式会社コンドウ商会,醤油,27,３８０円,渡辺
2026/11/10,有限会社みどり食品 ,醤油,44,380円,中村
2026-10-20,有限会社みどり食品,紅茶,5,900,田中
令和8年10月28日, はなまる工務店,珈琲豆,1,1200円,田中
2026-07-25, マツモト文具,牛肉（国産）,22,３２００円,山本
2026-09-01, オカモト印刷株式会社,コシヒカリ,３５,4200,渡辺
令和8年9月20日,株式会社フジタ製作所,木材(杉),３７,2100,高橋
2026-09-05,アオキ酒店,コシヒカリ,43,4200円,鈴木
令和8年9月1日, アオキ酒店,せっちゃくざい,２８,320円,佐藤
2026/7/10,はなまる工務店,醤油 ,２６,380円,佐藤
令和8年10月1日,こばやし青果,接着剤,41,320円,伊藤
2026-04-20,こばやし青果,コーヒー豆 ,36,"1,200",中村
2026-10-15,アオキ酒店,食パン ,38,２８０円,高橋
令和8年11月25日,たけだ薬局,紅茶葉 ,29,900円,中村
令和8年11月28日,アオキ酒店,木材(杉),45,"2,100円",田中
12/20,オカモト印刷株式会社,文具セット,11,1500,高橋
4/10,アオキ酒店,国産牛肉,7,"3,200円",渡辺
2026/10/20,サトウ精肉店,コーヒー豆,24,1200,伊藤
2026-06-15,カフェ・ドゥ・ソレイユ,軍手 ,８,180円,山本
2026-08-28,こばやし青果,醤油 ,12,380円,鈴木
2026/4/5,株式会社ニシムラ,牛肉（国産）,13,"3,200円",高橋
令和8年2月5日,オカモト印刷株式会社,杉材,３５,2100円,佐藤
2026/6/25,株式会社フジタ製作所,文房具セット ,5,1500円,田中
11/10, スズキベーカリー,紅茶葉 ,３５,900,佐藤
令和8年9月10日,マツモト文具,文具セット,42,1500,伊藤
令和8年3月28日,株式会社コンドウ商会,印刷用紙Ａ４,32,450,中村
12/25,オカモト印刷株式会社,木材（杉）,25,2100円,高橋
2026/2/10,はなまる工務店,パン(食パン),14,280円,高橋
令和8年1月10日,アオキ酒店,国産牛肉,35,3200円,田中
1/25,アオキ酒店 ,印刷用紙A4,9,450,伊藤
2026-05-01,有限会社イシダ金物店,牛肉(国産),8,"3,200",中村
2026-03-05,北海道物産センター,手袋(軍手),46,180円,中村
2026/4/20,株式会社コンドウ商会,米(コシヒカリ),7,４２００円,伊藤
10/10,有限会社みどり食品,国産牛肉,30,"3,200",中村
2026/7/5,田中商店,接着剤 ,39,320円,佐藤
令和8年8月1日,スズキベーカリー,接着剤,23,320円,鈴木
2026/4/28,株式会社コンドウ商会,コーヒー豆 ,4,"1,200円",中村
令和8年8月5日,カフェ・ドゥ・ソレイユ,手袋(軍手),6,180円,中村
,,,,,
令和8年12月10日,こばやし青果,紅茶葉 ,10,900円,高橋
2026/7/5,株式会社ヤマグチ電機,こうちゃ葉,24,９００円,中村
9/28, 株式会社ヤマグチ電機 ,牛肉(国産),23,3200円,伊藤
2026/2/5,田中商店,食パン,19,280円,高橋
2026-02-25, 株式会社フジタ製作所 ,紅茶,１６,900円,鈴木
4/25,オカモト印刷株式会社,食パン ,45,280,鈴木
2026-08-28,山田物産株式会社,牛肉(国産),16,"3,200円",伊藤
2026/6/20, みなと運送 ,珈琲豆,38,"1,200円",山本
1/1, 株式会社ヤマグチ電機,国産牛肉,40,"¥3,200",中村
令和8年1月5日,株式会社コンドウ商会,接着剤 ,30,320,中村
5/25,株式会社フジタ製作所,手袋(軍手),32,180円,高橋
2026/11/28,株式会社コンドウ商会,せっちゃくざい,28,３２０円,鈴木
2026/1/28,株式会社ニシムラ,米（コシヒカリ）,31,4200円,佐藤
令和8年6月10日,はなまる工務店,文具セット,１２,"¥1,500",田中
8/25,有限会社みどり食品,米（コシヒカリ）,25,"¥4,200",渡辺
2026-08-28,有限会社イシダ金物店,手袋(軍手),35,¥180,中村
12/20,オカモト印刷株式会社,文具セット,11,1500,高橋
令和8年11月28日, みなと運送,木材（杉）,50,"2,100円",田中
2026-07-20,有限会社みどり食品,パン(食パン),11,280円,伊藤
12/15,アオキ酒店,しょうゆ,44,380,渡辺
5/25, オカモト印刷株式会社,印刷用紙(A4),2,４５０円,渡辺
4/25,みなと運送,醤油 ,2,380,山本
2026-09-20,有限会社みどり食品,せっちゃくざい,６,320,高橋
令和8年3月28日,山田物産株式会社,手袋(軍手),44,180,山本
2026-05-25,株式会社コンドウ商会,軍手,7,180,渡辺
令和8年1月10日,はなまる工務店,しょうゆ,45,380,鈴木
2026/3/20,有限会社みどり食品 ,手袋(軍手),48,180,伊藤
